-1           init_dist() [8200273us]

5757191           global minimum

0: 5757191           RR_all() [0us]
2: 5763082           ran(41) (20515us)          
3: 5762969           ran(132) (66169us)          
4: 5762858           ran(18) (9023us)          
5: 5762662           ran(213) (106633us)          
7: 5762548           ran(140) (70200us)          
10: 5762337           ran(233) (116638us)          
12: 5762089           ran(279) (139612us)          
14: 5762084           rad(58981,79) (39611us)          
18: 5761940           ran(288) (144174us)          
23: 5761648           ran(262) (131182us)          
25: 5761646           ran(29) (14526us)          
28: 5761617           ran(253) (126724us)          
30: 5761462           ran(220) (110203us)          
34: 5761459           ran(97) (48594us)          
47: 5761412           ran(229) (114724us)          
48: 5761258           ran(131) (65622us)          
53: 5761247           ran(39) (19537us)          
54: 5761238           ran(66) (33080us)          
59: 5761232           ran(16) (8019us)          
62: 5761161           ran(183) (91737us)          
71: 5761132           ran(248) (124186us)          
72: 5761042           ran(206) (103252us)          
76: 5760999           ran(43) (21996us)          
79: 5760957           ran(103) (51619us)          
81: 5760863           rad(24172,34) (17036us)          
94: 5760761           ran(95) (47609us)          
100: 5760759           ran(146) (73154us)          
114: 5760708           ran(60) (30070us)          
120: 5760692           ran(27) (13541us)          
133: 5760674           ran(44) (22065us)          
152: 5760652           ran(80) (40105us)          
155: 5760516           rad(29662,10) (5015us)          
183: 5760473           ran(108) (54304us)          
189: 5760430           ran(82) (41208us)          
208: 5760419           ran(5) (2511us)          
211: 5760406           ran(104) (52139us)          
221: 5760405           ran(127) (63694us)          
224: 5760368           ran(19) (9528us)          
254: 5760329           ran(54) (27093us)          
270: 5760328           ran(177) (88715us)          
274: 5760321           ran(68) (34108us)          
299: 5760297           ran(42) (21069us)          
301: 5760283           ran(28) (14044us)          
318: 5760243           ran(77) (38670us)          
324: 5760213           ran(91) (45721us)          
334: 5760190           ran(53) (26599us)          
353: 5760182           ran(41) (20658us)          
410: 5760138           ran(89) (44700us)          
459: 5760134           ran(143) (71949us)          
460: 5760124           ran(47) (23691us)          
531: 5760110           ran(43) (21639us)          
583: 5760109           ran(55) (27693us)          
605: 5760097           ran(42) (21161us)          
616: 5760095           ran(65) (32745us)          
668: 5760091           ran(115) (57927us)          
688: 5760083           ran(45) (22679us)          
709: 5760080           ran(32) (16131us)          
754: 5760076           ran(51) (25709us)          
789: 5760037           ran(86) (43363us)          
883: 5760036           ran(26) (13110us)          
967: 5760029           ran(25) (12660us)          
1027: 5760023           rad(33334,8) (4027us)          
1029: 5760003           rad(68035,21) (10584us)          
1031: 5759998           ran(88) (44425us)          
1043: 5759986           ran(60) (30247us)          
1364: 5759973           ran(36) (18158us)          
1394: 5759945           ran(114) (57585us)          
1447: 5759928           ran(36) (18172us)          
1482: 5759905           ran(46) (23207us)          
1496: 5759899           ran(66) (33286us)          
1645: 5759874           rad(7803,10) (5046us)          
1710: 5759860           ran(61) (30781us)          
1813: 5759852           ran(17) (8581us)          
1900: 5759829           ran(122) (61572us)          
1954: 5759827           ran(31) (15643us)          
1965: 5759820           ran(18) (9090us)          
2157: 5759818           ran(67) (33813us)          
2179: 5759806           ran(53) (26751us)          
2379: 5759800           ran(37) (18675us)          
2422: 5759799           rad(38379,16) (8082us)          
2425: 5759778           ran(54) (27263us)          
2530: 5759770           rad(5084,13) (6561us)          
2562: 5759756           ran(96) (48462us)          
2587: 5759752           ran(53) (26759us)          
2837: 5759747           ran(123) (62098us)          
2849: 5759745           ran(33) (16663us)          
2866: 5759731           ran(114) (57552us)          
2876: 5759727           ran(76) (38370us)          
2979: 5759726           ran(164) (82827us)          
2988: 5759722           ran(31) (15657us)          
3063: 5759713           ran(74) (37393us)          
3072: 5759688           ran(61) (30829us)          
3079: 5759687           ran(69) (34845us)          
3085: 5759669           ran(62) (31319us)          
3103: 5759657           ran(17) (8588us)          
3225: 5759632           ran(46) (23238us)          
3255: 5759631           ran(67) (33860us)          
3356: 5759592           ran(71) (35897us)          
3404: 5759588           ran(92) (46482us)          
3434: 5759583           ran(48) (24267us)          
3492: 5759572           ran(107) (54108us)          
3595: 5759565           ran(66) (33406us)          
